 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
80675,198801,0601-1200,BIS,ND,,,0,,,VMC,10,,Night,7500,,Tower BIS,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Taxi; Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 200; Flight Crew Total 3800; Flight Crew Type 1500,,,,,80675,,,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 210; Flight Crew Total 25000; Flight Crew Type 2400,,,,,80571,Ground Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion,,,Person Flight Crew,,General None Reported / Taken,,Weather,"WHILE FLYING FO ON FLT LNDG BISMARCK VISUAL APCH RWY 31. SANDED BRAKING ACTION WAS FAIR ON THE RWY; POOR TO nil ON TAXIWAYS AND RAMP WX WAS 75 BROKEN 250 INTXN 10 37/29 WIND 3011 V 280 TO 310 10 TO 20 KNOTS ALT 2938. AFTER LNDG RWY 31 WE CLRD THE RWY ON TXWY 3A. TAXIED VIA A TO TERMINAL CENTER TXWY. WHILE STARTING TURN TO CENTER TAXIWAY; WIND CAUGHT TAIL AND STARTED ACFT SLIDING SIDEWAYS (TAXI SPEED WAS ABOUT 2 TO 3 MPH) BRAKING OR REVERSING WOULD NOT STOP ACFT. LH MAIN GEAR JUST SLID OFF TAXIWAY WITH NOSE WHEEL ABOUT 5' OFF TAXIWAY. GND WAS FROZEN SOLID AND NO TAXI LIGHTS WERE HIT. NO DAMAGE DONE. THE RAMP WAS TOO SLIPPERY TO ALLOW PASSENGERS TO WALK TO THE TERMINAL. THERE WAS NO VAN FOR THE PASSENGERS SO WE LEFT THE PASSENGERS ON BOARD. A/C SLID ABOUT 50' STRAIGHT AND ABOUT 90' SIDEWAYS. A/C WAS NOT STUCK BUT HAD A TUG PULL US OUT.",,,,"ACR MLG EXCURSION FROM ICY TXWY AFTER LNDG.",
80685,198801,0601-1200,YVA; YVR,BC,,,0,,,VMC,,,Daylight,,,Tower YVR,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Takeoff / Launch; Other Abort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 210; Flight Crew Total 15428; Flight Crew Type 822,,,,,80685,,,Air Carrier,First Officer; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,,,,,,80693,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Flight Crew Rejected Takeoff; General Declared Emergency,,Aircraft,"THE F/O MADE TKOF ON RWY 8 YVR. AT APPROX 110 KTS THERE WAS A LOUD BAND AND ACFT YAWED ABRUPTLY TO LEFT. AN ABT WAS IMMEDIATELY INITIATED. DURING ABT THE TWR RPTED FLAME ON LEFT SIDE OF ACFT. THE #1 ENG WAS SHUTDOWN DURING FINAL PART OF ABT AND ACFT WAS BROUGHT TO A STOP ON A TXWY JUST OFF OF THE RWY. NO FIRE WAS OBSERVED AT THIS TIME AND WE HAD NOT HAD A FIRE WARNING ALARM ON THE #1 ENG. THE CAPT'S WINDOW WAS OPENED AND A LARGE AMOUNT OF SMOKE WAS OBSERVED AROUND #1 ENG. AN EMER EVAC WAS COMPLETED AND #1 ENG T-HANDLE WA PULLED AND FIRE BOTTLE FIRED. EVAC WAS NORMAL. POST-INCIDENT INSPECTION SHOWED THAT ON THE INBOARD SIDE OF THE #1 ENG; THE COMBUSTION SECTION OUTER SHELL HAD BLOWN OUT THROUGH THE FAN SECTION AND ENG NACELLE. SUPPLEMENTAL INFORMATION FROM ACN 80693: THERE WAS ALSO MINOR DAMAGE TO THE UNDERSIDE OF THE WING NEAR THE FUEL TANK. DELAYED REACTIONS COULD HAVE CAUSED A MUCH MORE SERIOUS SITUATION.",,,,"ACR MLG ENGINE FAILURE ON TKOF ROLL. TKOF ABORTED. ACFT EMERGENCY EVACUATION DUE TO SMOKE.",
80688,198801,1801-2400,BOS,MA,,5,,3000,,VMC,,,Night,,,Tower BOS,Corporate,Small Transport; Low Wing; 2 Recip Eng,,1,,VFR,Passenger,,Initial Approach; Landing; Landing,Visual Approach,Class B BOS; Class D BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 120; Flight Crew Total 10000; Flight Crew Type 400,,,,,80688,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,General None Reported / Taken; General Declared Emergency,,Aircraft,"ON DOWNWIND TO BOS RWY 22R I PUT GEAR DOWN AND GOT AN UNSAFE ON THE RIGHT MAIN GEAR. I TOLD TWR OF THE SITUATION AND HE ASKED MY INTENTION. I TOLD HIM THAT I BELIEVE IT WAS A WARNING PROB AND THAT THE GEAR WAS PROBABLY DOWN; AND THAT I WOULD LAND ON 22R AND TO CALL THE EQUIP TO THE RWY. I CYCLED THE GEAR TWICE AND THE LIGHTS DID NOT CHANGE. THE GEAR IS MECHANICAL WITH ROD TO EACH GEAR AND YOU CAN HEAR THE GEAR LOCK IN; PLUS A ROD WOULD HAVE TO BREAK BEFORE IT WOULD NOT LOCK. THE MICRO SWITCHES GET ICE OR DIRT ON THEM AND THEY WILL NOT INDICATE CORRECTLY. THIS HAS HAPPENED TO ME BEFORE SO I WAS PRETTY SURE IT WAS A MICRO SWITCH THAT GOT DIRTY OR ICE ON IT. WHEN I TOUCHED DOWN THE RIGHT GEAR LIGHT TURNED GREEN. I TOLD THE TWR EVERYTHING WAS OK; TAXIED TO THE RWY; CHKED THE GEAR--IT WAS LOCKED AND THE MICRO SWITCH HAD SOME ICE ON IT. I CLEANED IT OFF; MOVED THE SWITCH; IT WAS FROZEN; SO I RETURNED TO ARPT IN NJ (RON). FLEW TO HOME BASE NEXT DAY AND HAD MECHANIC CHK OUT GEAR. RPT WAS THE GEAR WAS OK. ADJUSTMENTS WERE RIGHT ON; COULD NOT FIND ANYTHING WRONG WITH THE GEAR. ALSO; THE MECHANIC AGREED WITH ME THAT IT WAS ICE ON THE MICRO SWITCH. IF IT WAS DAYLIGHT I WOULD HAVE ASKED THE TWR FOR A FLY BY. I THINK THAT KNOWING THE ACFT THAT YOU ARE FLYING IS WHAT MADE THE DIFFERENCE IN MY ACTION.",,,,"CORP SMT UNABLE TO GET SAFE INDICATION ON MAIN LNDG GEAR. EMERGENCY CRASH EQUIPMENT ACTIVATED.",
80692,198801,1801-2400,SDZ,NC,60,25,,37000,,VMC,,,Dusk,,,Center ZDC,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Climb,Vectors,Class A ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Non Radar 3; Air Traffic Control Radar 12,,,,,80692,,,,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,,ATC Issue All Types; Conflict Airborne Conflict,Horizontal 26400; Vertical 1700,,Automation Air Traffic Control; Person Air Traffic Control,,Air Traffic Control Issued New Clearance; General None Reported / Taken,,Human Factors,"LGT X ENCOUNTERED MODERATE TURB AT FL350 AND REQUESTED FL390. LTT Y WAS TFC AT FL370. I TURNED LGT X TO A HDG OF 210 DEGS TO MISS TFC AND CLB. AFTER LGT X WAS ESTABLISHED ON 210 DEG HDG; I GAVE CLB CLRNC TO LGT X TO FL390. I REALIZED THAT THIS WAS NOT SUFFICIENT TO CLR TFC. LTT Y WAS GIVEN A LEFT TURN TO FLY A HDG OF 050 DEGS THEN 030 DEGS. THE ACFT PASSED WITH APPROX 4.4 MI LAT SEP AND 1700' (APPROX) VERT SEP.",,,,"LESS THAN STANDARD SEPARATION WHEN ACR-LGT CLEARED THROUGH ALT OF CPR-LTT.",
80697,198801,1201-1800,ATL,GA,169,90,,25000,,Mixed,,,Daylight,,,Center ZTL,Air Carrier,Heavy Transport; Low Wing; 4 Turbojet Eng,,3,,IFR,Passenger,,Climb,Visual Approach; Airway ZTL,Class A ZTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,IFR,,,Cruise; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,First Officer; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Engineer; Flight Crew Instrument,Flight Crew Last 90 Days 50; Flight Crew Total 5000,,,,,80697,,,,Enroute,Air Traffic Control Fully Certified,,,,,,,ATC Issue All Types,Horizontal 27000; Vertical 900,,Person Air Traffic Control,,General None Reported / Taken,,Weather,"FLT ATL RSW WHILE CIRCUMNAVING THUNDERSTORMS ON JET ROUTE FROM ATL TO JOHNN (169 DEG R OF ATL); REQUESTED FROM CENTER PERMISSION TO DEVIATE TO AVOID 'BUILD UPS' CENTER CLRED DEVIATION TO WEST. AFTER DEVIATION; RETURNED TO JET ROUTE AT WHICH TIME CENTER CTLR REPORTED A 'SYSTEM DEVIATION'; OSTENSIBLY WITH ANOTHER ACFT IN THE AREA. AT OCCURRENCE; ACFT WAS CLBING TO FL310; IN AND OUT OF CLOUDS; AND RECEIVING MODERATE TO SEVERE TURBULENCE. (FLIGHT WAS A HVT) NO OTHER ACFT WERE VISIBLE IN THE AREA. CENTER REPORTED THAT CREW MAY SEE SAME 'PAPER WORK' ON THE DEVIATION. CTLR WAS EXTREMELY BUSY WITH 3 - 4 OTHER ACFT IN THE AREA.",,,,"LESS THAN STANDARD SEPARATION BETWEEN CLIMBING DEVIATING ACR HVT AND OTHER IFR TFC.",
80698,198801,1201-1800,PHX,AZ,,,0,,,,,,Daylight,,,Tower PHX,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 20000; Flight Crew Type 600,,,,,80698,,,,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial,,,,,,,Conflict Ground Conflict; Less Severe,,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"AFTER LNDG AT PHX; WE HAD A MISUNDERSTANDING WITH THE TWR ABOUT EXITING THE RWY. THE RESULT WAS AN UNCOMFORTABLE CONFLICT WITH AN LGT TAXIING IN THE OPP DIR ON A PARALLEL TXWY. THERE WAS SOME 4-WAY IRRITATION AMONG PLTS OF THE 2 ACFT AND THE LCL TWR AND GND CTLRS. IMMEDIATELY AFTER LNDG; THE TWR CTLR ISSUED SOME LENGTHY INSTRUCTIONS WHICH WE COULD NEITHER HEAR NOR PAY ATTN TO UNTIL WE CAME OUT OF REVERSE AND WERE SLOWED. ON OUR REQUEST TO REPEAT; HE TOLD US TO TURN OFF AT C-4 AND CONTACT GND CTL. THE DISTANCE BTWN THE RWY AND PARALLEL TXWY C IS SO NARROW THAT A WDB WHOSE TAIL IS CLR OF THE RWY WILL HAVE HIS NOSE WELL INTO TXWY C; YOU CAN'T HOLD BTWN THE TWO. THE OPP DIR LGT AND THE GND CTLR EXPECTED ME TO HOLD SHORT OF TXWY C. I EXPECTED THE LGT TO HOLD SHORT OF C-4; AND THE TWR CTLR EXPECTED ME TO CLR THE RWY. AFTER PARKING I PHONED THE TWR SUPVR. I WOULD SAY THAT OUR CONVERSATION BENEFITTED ALL CONCERNED. IF I COULD HAVE A RE-RUN; I WOULD SAY NO TO THE TURNOFF ON C-4 AND GO TO THE NEXT EXIT AND COME ON THE TXWY BEHIND THE OTHER ACFT. I THINK THE TWR AND GND CTLR SHOULD COORDINATE IF THE TWR IS CALLING FOR A RWY EXIT THAT CREATES A GND TFC CONFLICT. IN PASSING; I WANT TO COMMENT THAT THERE ARE A FEW TWR CTLRS WHO FEEL THAT WHEN THE NOSE WHEEL OF A LNDG ACFT IS ON THE RWY THAT THEY CAN ISSUE SOME RAPID FIRE INSTRUCTIONS ABOUT TAXIING. IT'S THE WRONG TIME AND PLACE. THE PLT; OF NECESSITY; MUST IGNORE THAT NOISE UNTIL EVERYTHING HAS SLOWED. I AM TOLD THAT CTLR TRAINERS IS TO WAIT UNTIL THE ACFT IS SLOW ENOUGH TO CONSIDER A TURNOFF BUT; ONCE IN AWHILE; YOU ENCOUNTER EXCEPTIONS.",,,,"ACR-WDB TURNED OFF RWY AND NEARLY HAD GND COLLISION WITH TAXIING ACR-LGT.",
80702,198801,1201-1800,CVG,OH,180,5,,4000,,VMC,15,,Dusk,,,TRACON CVG,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Climb; Initial Climb,Other Departure; STAR STAR,Class C CVG; Class D CVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Pilot Flying; First Officer,Flight Crew Flight Engineer; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 190; Flight Crew Total 7500; Flight Crew Type 6000,,,,,80702,,,,Handoff / Assist,Air Traffic Control Fully Certified,,,,,,,Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,ATC Equipment / Nav Facility / Buildings; Procedure,Human Factors,"INITIAL CLRNC WAS TO DEPART VIA THE CINCINNATI 1 DEP ON RWY 18. RWY HDG TO 6000' MSL. THE ACFT AHEAD WAS TOLD TO MAINTAIN 4000' MSL. AFTER TKOF CLRNC; WE ACCELERATED; TOOK OFF AND STARTED OUR CLB. FOLLOWING A LONG DELAY AFTER TKOF; I CALLED TWR FOR PERMISSION TO GO OVER TO DEP CTL. THERE WAS NO RESPONSE. AFTER WAITING SOME ADDITIONAL TIME; I TRIED TWR AGAIN WITH NO REPLY. WE WERE CLBING THROUGH ABOUT 3500' MSL AT THIS TIME. AT THIS TIME; I ELECTED TO CONTACT DEP ON 124.65 MHZ. NO REPLY ON 2 RADIOS. BACK TO TWR; NO REPLY. THEN; AFTER ANOTHER ATTEMPT TO TWR AT 4100' MSL; TWR RESPONDS AND ASKS IF I RECEIVED THE 4000' MSL RESTRICTION. I REPLIED NO; AND THAT THERE WAS NO CONTACT ON DEP FREQ. THEY SAID; 'NEVER MIND; CLB AND MAINTAIN 6000' MSL.' THIS WAS OUR INITIAL CLRNC. AFTER THIS; TWR DIRECTED US AGAIN TO GO TO 124.65. AGAIN; NO REPLY FOR DEP ON SEVERAL ATTEMPTS ON 2 DIFFERENT RADIOS. ALL THIS TIME WE ARE HEADED 180 DEGS (RWY HDG) WHEN WE ARE SUPPOSED TO BE HEADED E. AGAIN WE WENT BACK TO TWR; ADVISED THEM OF NO CONTACT. THEY ASSIGNED US 128.7 MGZ. WE THEN WERE ABLE TO RECEIVE DEP. WE ASKED DEP ABOUT 124.65 AND THEY SAID EVERYONE ELSE COULD HEAR THEM BUT US. HOWEVER; WE OVERHEARD; WHILE EAVESDROPPING ON THE PUBLISHED DEP FREQ OF 124.7; DEP CTL REQUEST RADIO CHKS ON 124.65 AND NOBODY ELSE COULD HEAR THEM EITHER. THERE ARE SEVERAL PROBS HERE IN CINCINNATI. THE FIRST IS OVERLOADED CTLRS WHO CANNOT RESPOND PROMPTLY AND WHO CAN'T RECALL WHO THEY GAVE CLRNCS TO. THIS HAS BEEN A CONSTANT STATE OF AFFAIRS FOR AT LEAST 1 YR! SECOND; A SYSTEM OF ACFT SEQUENCING WHICH IS VERY INEFFICIENT FOR BOTH ARRS AND DEPS; AND THIRDLY; A CREW OF ARROGANT CTLRS AND SUPVRS WHO ARE BEHIND BUT ASSUME IT IS EVERYBODY ELSE'S FAULT. IF CVG AND INDIANAPOLIS CENTER DON'T GET THEIR ACT TOGETHER SOON; THIS WILL BE THE SIGHT OF THE NEXT MIDAIR COLLISION.",,,,"ACR LGT UNABLE CONTACT DEP CTLR AFTER TKOF.",
80710,198801,0601-1200,MXK,AZ,271,26,,33000,,VMC,,,Daylight,,,Center ZAB,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Climb,,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,80710,,,,Enroute,Air Traffic Control Fully Certified,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Other Unspecified,Horizontal 23400; Vertical 900,,Automation Air Traffic Control,,,,Human Factors,"I INADVERTENTLY CLRD MLG X TO FILED ALT OF FL350 INSTEAD OF THE TOP OF MY ALT STRATUM; FL230. I HANDED OFF MLG X TO HIGH ALT SECTOR 91 AND WORKED ON 2 OTHER SEP PROBS AND TALKED TO SEVERAL OTHER ACFT. SEEING THAT MLG X WAS CLBING OUT OF FL240; I BELIEVED THAT I MUST HAVE CHANGED IT TO HIGH ALT'S FREQ; AND THEN DROPPED THE DATA BLOCK ON MLG X. MLG X CALLED APPROX 5-10 MINS LATER ADVISING HE WAS LEVEL AT FL350. BELIEVING MLG X CAME BACK TO MY FREQ BY MISTAKE; I CHANGED HIM TO HIGH ALT'S FREQ. I LATER FOUND OUT THAT SEP WAS LOST BTWN MLG X AND AN LGT Y AT FL330; AND ALSO BY LISTENING TO THE TAPES THAT I HAD CLRD MLG X TO FL350. ACFT DID NOT TAKE EVASIVE ACTION; BUT ULTRA-HIGH CTLR TURNED THE LGT Y AWAY FROM MLG X. CLOSEST PROX WAS ABOUT 3.9 NM AND 900' AT 33900'. SUPPLEMENTAL INFORMATION FROM ACN 80593: WHEN WE WERE TOLD ABOUT THE ALT ALERT; I SAW THE TFC BEFORE HE TOLD US. IT SEEMS THE DEP CTLR WROTE DOWN FL230 BUT SAID FL350. THEN; TO MAKE MATTERS WORSE; HE FORGOT TO HAND US OFF. SUPPLEMENTAL INFO FROM ACN 80699: AT 34500' THE F/O SPOTTED AN EBND AND I BECAME SUSPICIOUS OF A PROB AND TOLD THE CTLR THAT WE WERE LEVELING '350;' DID HE STILL WANT US ON THIS FREQ. HE TOLD US TO SWITCH TO 135.15. AT THIS TIME WE WERE INFORMED OF THE QUALITY ASSURANCE ALERT. THE 2 PROBS WERE THE CTLR NOT FOLLOWING ESTABLISHED PROCS AND THE CAPT NOT DOUBLECHKING WHEN AN UNUSUAL CLRNC WAS RECEIVED.",,,,"ARTCC CTLR CLIMBED AN MLG ABOVE HIS SECTOR ALT LIMITS WITHOUT COORD OR HANDOFF AND CREATED LESS THAN STANDARD SEPARATION WITH AN LGT.",
80713,198801,1801-2400,ATL,GA,,1,200,,,IMC,,,Night,,,Tower ATL,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Cargo / Freight / Delivery,,Initial Approach; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 120; Flight Crew Total 6200; Flight Crew Type 3500,,,,,80713,,,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 150; Flight Crew Total 8000; Flight Crew Type 150,,,,,80781,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; General Declared Emergency,,Weather,"APCHING THE ATL AREA A SOLID LINE OF THUNDERSTORMS WAS DETECTED IN THE VICINITY OF THE ARPT. ATL STATED THE CELLS WERE W OF THE RWYS AND OTHER RADIO COMS INDICATED APCHES WERE BEING MADE. WE WERE CLRED FOR THE APCH TO RWY 27L AND AT THE FAF THE RWY WAS IN SIGHT. WX CONDITIONS CONTINUED TO DETERIORATE AND TWR WAS INFORMED THAT IN THE EVENT OF A MISSED APCH WE WOULD BE UNABLE TO COMPLY WITH MISSED APCH PROCEDURE; INSTEAD WE WOULD REQUIRE A LEFT TURN FOR WX. AT APPROX 200 AGL ALL VISUAL REFERENCES TO THE RWY WERE LOST AND A MISSED APCH WAS ACCOMPLISHED. SEVERE WX CONDITIONS WERE ENCOUNTERED IN THE FORM OF HAIL; TURB; WIND SHEAR AND HEAVY RAIN; THUS POSITIVE ACFT CTL BECAME DIFFICULT. A VECTOR OF 090 DEG WAS RECEIVED BEFORE RADIO COMS WERE LOST. A FINAL TURN TO APPROX N WAS MADE TO ESCAPE THE EXTREME CONDITIONS AS WE SQUAWKED 7700 AND TRIED TO CONTACT APCH ON 121.5. ATL WAS 0 + 500' OF ASSIGNED 3500'. AS WE EXITED THE AREA OF INTENSITY RADIO COMS WERE REESTABLISHED AND WE WERE ABLE TO COMPLY WITH ATL VECTORS OF 090 DEG AND ALT OF 5000'.",,,,"LGT EXECUTED MISSED APCH BUT DID NOT FOLLOW THE PUBLISHED MISSED APCH PROC.",
80726,198801,1801-2400,BDF,IL,,,,24000,,IMC,,,Night,,,Center ZAU,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise,,Class A ZAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Total 13000,,,,,80726,,,,Enroute,Air Traffic Control Fully Certified,,,,,,,Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,General None Reported / Taken; General Physical Injury / Incapacitation,,Weather,"ACFT ENCOUNTERED MODERATE TO SEVERE TURB. IN VICINITY OF BDF VOR. DURATION WAS 6-10 SECONDS. F/A WORKING IN BACK GALLEY INCURRED INJURIES. TURB HAD BEEN RPTED IN AREA BY ATC FROM FL250-FL330. FLT WAS DSNDED EARLY TO FL240 TO AVOID POSSIBLE TURB. CRUISE HAD BEEN AT FL410 WHERE RIDE WAS SMOOTH. SEAT BELT SIGN WAS ILLUMINATED SHORTLY AFTER COMMENCING DSCNT FROM FL410 AND WAS ON CONSTANTLY. RIDE WAS GOOD AT FL240 AND THE ALT HAD BEEN ESTABLISHED WELL IN ADVANCE OF BDF. FLT WAS ROUTINE AFTER INCIDENT AND PARAMEDICS MET FLT ON ARR.",,,,"ACR WDB ENCOUNTERED MODERATE TO SEVERE TURBULENCE AND A CABIN ATTENDANT WAS INJURED.",
80743,198801,1201-1800,APA,CO,,,0,,,VMC,30,,Daylight,,,,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,None,Training,,Initial Approach; Landing; Landing,,Class D APA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Observer,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 160; Flight Crew Total 570; Flight Crew Type 200,,,,,80743,,,,Single Pilot; Trainee; Pilot Flying,,,,,,,,Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,,Aircraft Aircraft Damaged; General Declared Emergency; General None Reported / Taken,,Human Factors,"CFI WAS SUPERVISING STUDENT SOLO FROM APA TWR. STUDENT HAD MADE ONE TOUCH AND GO OF TWO REQUIRED WITH LAST LNDG A FULL STOP. ON APCH TO RWY 17L FOR SECOND TOUCH AND GO; STUDENT REQUESTED A GO AROUND; WAS APPROVED BY ATC BUT STUDENT INADVERTENTLY RETRACTED ALL FLAPS ABOUT 50 DEG AGL AND DROPPED SHORT OF 17L; GND LOOPED; BENDING PROP. NO INJURY INCURRED BY STUDENT.",,,,"STUDENT PLT ON SOLO FLT LANDED SHORT OF RWY ATTEMPTING A GO AROUND.",
